label,claim
false,"If an Iranian woman shows too much hair in public, she risks being beaten or killed."
false,No fracking waste is being dumped in New York State
false,"Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades."
false,Obama couldn't have afforded his home without Rezko's help.
mostly-true,"According to one study, the minimum wage today is worth $2 less than in 1968."
mostly-true,"Since Barack Obama became president of the United States, 95 percent of economic gains have been made by the richest 1 percent."
half-true,State revenue projections have missed the mark month after month.
false,"An Iowa policy ""provides for a state round up of Iowa citizens who might be exposed to the swine flu virus."""
true,Says Ron Johnson likes to say there are too many lawyers in the Senate 57. Hed be the 70th millionaire.
half-true,Says Ron Johnsons company got government loans and a grant to help expand his business
half-true,The top 1 percent in recent years has earned 85 percent of all new income.
true,Weve seen six months of positive job growth by the private sector.
true,A million people a year come into the U.S. legally. No other country even comes close to that figure.
barely-true,"Its hard to get people in Portland to vote yes on ballot measures, especially when theres opposition."
false,Youre supposed to throw away your shoes ifmercury from a broken CFL light bulb gets on them.
barely-true,Says signers of recall petitions against Wisconsin Gov. Scott Walker are at risk because of newly discovered provisions in state law.
true,"Charlie Crist ""bizarrely vetoed"" $9.7 million for a teaching hospital at the University of Florida ""despite having previously argued the budget request had merit."""
mostly-true,"In 2008 (Mandel) was re-elected to a second term, representing a district with a 2:1 Democrat to Republican voter ratio."
true,Says that U.S. Rep. Allen West is a constituent of mine.
barely-true,Says he voted to remove Common Core from our schools.
half-true,It isnt me cutting the budget. Its the Congressdecision on sequestration. So it isnt secretary of defense or the president doing this.
mostly-true,U.S. Senate candidate Jack Kingston requested more earmarks than any other GA Congressman and all GA GOP members combined.
pants-fire,Unfortunately we have documented instances where people defecated in the (Statehouse) building.
mostly-true,"If we ban the practice of earmarks, we could save the American taxpayer anywhere between $15 (billion) to $20 billion dollars a year in pork-barrel spending."
half-true,Texas has more full-time state employees per capita than California and Illinois.
true,We havent passed a budget in more than three years and not a single appropriations bill has been brought to the floor this year.
half-true,"I vetoed more than $3 billion in spending. Lawmakers and I cut taxes for 40,000 small businesses. Now Texas is No. 1 in job creation. The nations five best housing markets are right here in Texas. We balanced five state budgets and we cut state spending."
false,"Most young Americans right now, theyre not covered by health insurance."
false,"Says state Senate President Stephen Sweeney gave us the nations highest income tax rates, driving out jobs."
barely-true,ISIS is now the predominantIslamist group in Benghazi.
half-true,"Georgia spends in the top 10 nationally on education, yet, most of our education metrics hover in the bottom five."
pants-fire,President Barack Obama has virtually no one in his cabinet with private-sector experience.
half-true,Says Rick Scott pled the Fifth 75 times to avoid jail for Medicare fraud.
pants-fire,Says she was never a member of the Georgia Log Cabin Republicans.
half-true,"Americans bought into climate change in 2004-06, but then most began wandering away from this issue."
barely-true,Health insurance companies pay CEOs $24 million a year
mostly-true,"The tax on job creating businesses is 35 percent in the United States, second worst in the entire world."
false,I have voted every year in Wisconsin.
barely-true,Says she made a cold call and persuaded an Illinois company to relocate to Wisconsin.
half-true,Barack Obama has doubled our national debt. Doubled it. Its going to be close to $20 trillion when he leaves.
false,China owns more of our bonds than do Americans.
mostly-true,Says Pope Francis took the name of a saint who basically reached out to Muslims.
half-true,Says Gov. Scott Walker didnt balance the budget so we now have a larger state deficit 14 months into (his) term than we did when he was elected.
